block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net_without_target_700,430,429,2.5543424692778647,20,180,181,200
block1,elastic_net_without_target_700,431,430,1.5647996028752291,20,180,181,200
block1,elastic_net_without_target_700,432,431,1.0124309649953522,20,180,181,200
block1,elastic_net_without_target_700,433,432,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,434,433,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,435,434,2.252413906230073,20,180,181,200
block1,elastic_net_without_target_700,436,435,2.770607734593528,20,180,181,200
block1,elastic_net_without_target_700,437,436,2.41566303866425,20,180,181,200
block1,elastic_net_without_target_700,438,437,1.2995871664904635,20,180,181,200
block1,elastic_net_without_target_700,439,438,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,440,439,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,441,440,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,442,441,2.4088573705257024,20,180,181,200
block1,elastic_net_without_target_700,443,442,2.741365965765846,20,180,181,200
block1,elastic_net_without_target_700,444,443,2.317555183491134,20,180,181,200
block1,elastic_net_without_target_700,445,444,1.1434794526491856,20,180,181,200
block1,elastic_net_without_target_700,446,445,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,447,446,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,448,447,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,449,448,2.5588385723368696,20,180,181,200
block1,elastic_net_without_target_700,450,449,2.730743502595417,20,180,181,200
block1,elastic_net_without_target_700,451,450,2.3191383071152485,20,180,181,200
block1,elastic_net_without_target_700,452,451,1.1254500784284787,20,180,181,200
block1,elastic_net_without_target_700,453,452,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,454,453,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,455,454,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,456,455,1.9288365519850605,20,180,181,200
block1,elastic_net_without_target_700,457,456,2.0189942413684614,20,180,181,200
