block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net,34,33,1.0967703222748997,20,180,181,200
block1,elastic_net,35,34,1.0967703222748997,20,180,181,200
block1,elastic_net,36,35,1.1758955347931903,20,180,181,200
block1,elastic_net,37,36,1.1751535131112276,20,180,181,200
block1,elastic_net,38,37,1.1678175458323683,20,180,181,200
block1,elastic_net,39,38,1.10965218266827,20,180,181,200
block1,elastic_net,40,39,0.995777475659468,20,180,181,200
block1,elastic_net,41,40,1.0425697534222962,20,180,181,200
block1,elastic_net,42,41,1.0731452494141958,20,180,181,200
block1,elastic_net,43,42,1.175812064700056,20,180,181,200
block1,elastic_net,44,43,1.1743186909098315,20,180,181,200
block1,elastic_net,45,44,1.1592650286485695,20,180,181,200
block1,elastic_net,46,45,1.0288741840365014,20,180,181,200
block1,elastic_net,47,46,1.0235313893368387,20,180,181,200
block1,elastic_net,48,47,1.0778985501666927,20,180,181,200
block1,elastic_net,49,48,1.0778985501666927,20,180,181,200
block1,elastic_net,50,49,1.1757287391866376,20,180,181,200
block1,elastic_net,51,50,1.1734915887314865,20,180,181,200
block1,elastic_net,52,51,1.1502880986563044,20,180,181,200
block1,elastic_net,53,52,0.9711205300106206,20,180,181,200
block1,elastic_net,54,53,1.0778985501666927,20,180,181,200
block1,elastic_net,55,54,1.0778985501666927,20,180,181,200
block1,elastic_net,56,55,1.0778985501666927,20,180,181,200
block1,elastic_net,57,56,1.1756470266959966,20,180,181,200
block1,elastic_net,58,57,1.1726612365578024,20,180,181,200
block1,elastic_net,59,58,1.1384945568485005,20,180,181,200
block1,elastic_net,60,59,0.9489721018249703,20,180,181,200
block1,elastic_net,61,60,1.0778985501666927,20,180,181,200
block1,elastic_net,62,61,1.0778985501666927,20,180,181,200
block1,elastic_net,63,62,1.0778985501666927,20,180,181,200
block1,elastic_net,64,63,1.1755621717867668,20,180,181,200
block1,elastic_net,65,64,1.1718379990148369,20,180,181,200
block1,elastic_net,66,65,1.127901618392867,20,180,181,200
block1,elastic_net,67,66,0.9445047244165445,20,180,181,200
block1,elastic_net,68,67,1.0778985501666927,20,180,181,200
block1,elastic_net,69,68,1.0778985501666927,20,180,181,200
block1,elastic_net,70,69,1.0778985501666927,20,180,181,200
block1,elastic_net,71,70,0.9673805561440212,20,180,181,200
block1,elastic_net,72,71,0.967314385423737,20,180,181,200
block1,elastic_net,73,72,0.966700004629271,20,180,181,200
block1,elastic_net,74,73,0.9639950204051828,20,180,181,200
block1,elastic_net,75,74,0.9948765158765499,20,180,181,200
block1,elastic_net,76,75,1.0733040407518124,20,180,181,200
block1,elastic_net,77,76,1.094105382912793,20,180,181,200
block1,elastic_net,78,77,0.9673850147360362,20,180,181,200
block1,elastic_net,79,78,0.9673597606831947,20,180,181,200
block1,elastic_net,80,79,0.9672007348075703,20,180,181,200
block1,elastic_net,81,80,0.97334140382589,20,180,181,200
block1,elastic_net,82,81,1.0719814813532869,20,180,181,200
block1,elastic_net,83,82,1.0967703222748997,20,180,181,200
block1,elastic_net,84,83,1.0967703222748997,20,180,181,200
block1,elastic_net,85,84,0.9673895017540759,20,180,181,200
block1,elastic_net,86,85,0.9674059940310802,20,180,181,200
block1,elastic_net,87,86,0.9677582440777271,20,180,181,200
block1,elastic_net,88,87,0.9823850028484221,20,180,181,200
block1,elastic_net,89,88,1.0967703222748997,20,180,181,200
block1,elastic_net,90,89,1.0967703222748997,20,180,181,200
block1,elastic_net,91,90,1.0967703222748997,20,180,181,200
block1,elastic_net,92,91,0.9673940351944824,20,180,181,200
block1,elastic_net,93,92,0.9674510734524208,20,180,181,200
block1,elastic_net,94,93,0.9683551540963012,20,180,181,200
block1,elastic_net,95,94,0.9968740440374732,20,180,181,200
block1,elastic_net,96,95,1.0967703222748997,20,180,181,200
block1,elastic_net,97,96,1.0967703222748997,20,180,181,200
block1,elastic_net,98,97,1.0967703222748997,20,180,181,200
block1,elastic_net,99,98,0.9673987337500086,20,180,181,200
block1,elastic_net,100,99,0.9674983080490448,20,180,181,200
block1,elastic_net,101,100,0.969014249550303,20,180,181,200
block1,elastic_net,102,101,1.0186933196598835,20,180,181,200
block1,elastic_net,103,102,1.0967703222748997,20,180,181,200
block1,elastic_net,104,103,1.0967703222748997,20,180,181,200
block1,elastic_net,105,104,1.0967703222748997,20,180,181,200
block1,elastic_net,106,105,0.9779642734532076,20,180,181,200
block1,elastic_net,107,106,0.9776847053003518,20,180,181,200
block1,elastic_net,108,107,0.9750752812118014,20,180,181,200
block1,elastic_net,109,108,0.9603816238032661,20,180,181,200
block1,elastic_net,110,109,0.9658196083882779,20,180,181,200
block1,elastic_net,111,110,1.045874340777527,20,180,181,200
block1,elastic_net,112,111,1.074078899611567,20,180,181,200
block1,elastic_net,113,112,0.9779657526710995,20,180,181,200
block1,elastic_net,114,113,0.9777004405486136,20,180,181,200
block1,elastic_net,115,114,0.975213406592741,20,180,181,200
block1,elastic_net,116,115,0.9610672597847443,20,180,181,200
block1,elastic_net,117,116,1.0387591037714634,20,180,181,200
block1,elastic_net,118,117,1.0778985501666927,20,180,181,200
block1,elastic_net,119,118,1.0778985501666927,20,180,181,200
block1,elastic_net,120,119,0.9779675428985469,20,180,181,200
block1,elastic_net,121,120,0.9777149797017369,20,180,181,200
block1,elastic_net,122,121,0.9753601625722708,20,180,181,200
block1,elastic_net,123,122,0.9581104900789357,20,180,181,200
block1,elastic_net,124,123,1.0778985501666927,20,180,181,200
block1,elastic_net,125,124,1.0778985501666927,20,180,181,200
block1,elastic_net,126,125,1.0778985501666927,20,180,181,200
block1,elastic_net,127,126,0.9779691722870849,20,180,181,200
block1,elastic_net,128,127,0.9777312992640542,20,180,181,200
block1,elastic_net,129,128,0.9755295062325813,20,180,181,200
block1,elastic_net,130,129,0.9558961567072506,20,180,181,200
block1,elastic_net,131,130,1.0778985501666927,20,180,181,200
block1,elastic_net,132,131,1.0778985501666927,20,180,181,200
block1,elastic_net,133,132,1.0778985501666927,20,180,181,200
block1,elastic_net,134,133,0.977970442131244,20,180,181,200
block1,elastic_net,135,134,0.9777442032504172,20,180,181,200
block1,elastic_net,136,135,0.9757116217537856,20,180,181,200
block1,elastic_net,137,136,0.9546539368577635,20,180,181,200
block1,elastic_net,138,137,1.0778985501666927,20,180,181,200
block1,elastic_net,139,138,1.0778985501666927,20,180,181,200
block1,elastic_net,140,139,1.0778985501666927,20,180,181,200
block1,elastic_net,141,140,0.9562435967928377,20,180,181,200
block1,elastic_net,142,141,0.9561863548402636,20,180,181,200
block1,elastic_net,143,142,0.9556606364277839,20,180,181,200
block1,elastic_net,144,143,0.953764594384091,20,180,181,200
block1,elastic_net,145,144,0.9883945247051864,20,180,181,200
block1,elastic_net,146,145,1.0717806859989807,20,180,181,200
block1,elastic_net,147,146,1.093930145335422,20,180,181,200
